央视频道,#genre#
CCTV1,http://61.178.184.39:8029/rtp/239.255.30.101:8231
CCTV2,http://61.178.184.39:8029/rtp/239.255.30.179:8231
CCTV3,http://61.178.184.39:8029/rtp/239.255.29.12:8231
CCTV4,http://61.178.184.39:8029/rtp/239.255.30.83:8231
CCTV5,http://61.178.184.39:8029/rtp/239.255.29.13:8231
CCTV5,http://61.178.184.39:8029/rtp/239.255.30.184:8231
CCTV7,http://61.178.184.39:8029/rtp/239.255.30.178:8231
CCTV8,http://61.178.184.39:8029/rtp/239.255.29.15:8231
CCTV10,http://61.178.184.39:8029/rtp/239.255.30.181:8231
CCTV12,http://61.178.184.39:8029/rtp/239.255.30.182:8231
CCTV13,http://61.178.184.39:8029/rtp/239.255.29.28:8231
CCTV14,http://61.178.184.39:8029/rtp/239.255.30.183:8231
CCTV15,http://61.178.184.39:8029/rtp/239.255.30.68:8231
CCTV17,http://61.178.184.39:8029/rtp/239.255.30.96:8231

卫视频道,#genre#
湖南卫视,http://61.178.184.39:8029/rtp/239.255.30.136:8231
江苏卫视,http://61.178.184.39:8029/rtp/239.255.30.131:8231
北京卫视,http://61.178.184.39:8029/rtp/239.255.30.133:8231
东方卫视,http://61.178.184.39:8029/rtp/239.255.30.130:8231
广东卫视,http://61.178.184.39:8029/rtp/239.255.30.134:8231
辽宁卫视,http://61.178.184.39:8029/rtp/239.255.30.69:8231
山东卫视,http://61.178.184.39:8029/rtp/239.255.30.139:8231
天津卫视,http://61.178.184.39:8029/rtp/239.255.30.67:8231
甘肃卫视,http://61.178.184.39:8029/rtp/239.255.30.249:8231
广西卫视,http://61.178.184.39:8029/rtp/239.255.29.4:8231
河北卫视,http://61.178.184.39:8029/rtp/239.255.30.85:8231
黑龙江卫视,http://61.178.184.39:8029/rtp/239.255.30.137:8231
河南卫视,http://61.178.184.39:8029/rtp/239.255.29.3:8231
湖北卫视,http://61.178.184.39:8029/rtp/239.255.30.138:8231
江西卫视,http://61.178.184.39:8029/rtp/239.255.30.71:8231
吉林卫视,http://61.178.184.39:8029/rtp/239.255.29.5:8231
四川卫视,http://61.178.184.39:8029/rtp/239.255.30.91:8231
云南卫视,http://61.178.184.39:8029/rtp/239.255.29.2:8231
卡酷动画,http://61.178.184.39:8029/rtp/239.255.29.38:8231
哈哈炫动,http://61.178.184.39:8029/rtp/239.255.29.37:8231

国教频道,#genre#
中国教育1,http://61.178.184.39:8029/rtp/239.255.30.90:8231

数字频道,#genre#
电竞天堂,http://61.178.184.39:8029/rtp/239.255.30.128:8231
生活时尚,http://61.178.184.39:8029/rtp/239.255.29.18:8231
欢笑剧场,http://61.178.184.39:8029/rtp/239.255.29.19:8231
茶频道,http://61.178.184.39:8029/rtp/239.255.29.44:8231
快乐垂钓,http://61.178.184.39:8029/rtp/239.255.29.26:8231
游戏风云,http://61.178.184.39:8029/rtp/239.255.29.20:8231

电影频道,#genre#
华语影院,http://61.178.184.39:8029/rtp/239.255.30.193:8231

其他频道,#genre#
东方财经,http://61.178.184.39:8029/rtp/239.255.29.43:8231
东方购物,http://61.178.184.39:8029/rtp/239.255.29.42:8231
乐游,http://61.178.184.39:8029/rtp/239.255.29.17:8231
健康养生,http://61.178.184.39:8029/rtp/239.255.30.197:8231
全球大片,http://61.178.184.39:8029/rtp/239.255.30.196:8231
公共应急频道,http://61.178.184.39:8029/rtp/239.255.30.251:8231
宝宝动画,http://61.178.184.39:8029/rtp/239.255.30.151:8231
戏曲精选,http://61.178.184.39:8029/rtp/239.255.30.118:8231
文化影视,http://61.178.184.39:8029/rtp/239.255.30.250:8231
星光影院,http://61.178.184.39:8029/rtp/239.255.30.194:8231
法治天地,http://61.178.184.39:8029/rtp/239.255.29.24:8231
热门剧场,http://61.178.184.39:8029/rtp/239.255.30.100:8231
热门综艺,http://61.178.184.39:8029/rtp/239.255.30.116:8231
爱体育,http://61.178.184.39:8029/rtp/239.255.30.115:8231
甘肃都市,http://61.178.184.39:8029/rtp/239.255.30.252:8231
百变课堂,http://61.178.184.39:8029/rtp/239.255.30.160:8231
看天下精选,http://61.178.184.39:8029/rtp/239.255.30.217:8231
纪实人文,http://61.178.184.39:8029/rtp/239.255.30.176:8231
羽毛球精品赛事,http://61.178.184.39:8029/rtp/239.255.29.31:8231
谍战剧场,http://61.178.184.39:8029/rtp/239.255.30.166:8231
都市剧场,http://61.178.184.39:8029/rtp/239.255.29.41:8231
金色频道,http://61.178.184.39:8029/rtp/239.255.29.23:8231
青春动漫,http://61.178.184.39:8029/rtp/239.255.30.150:8231
魅力足球,http://61.178.184.39:8029/rtp/239.255.30.147:8231

更新时间,#genre#
2024-03-21_08:00:53,https://taoiptv.com/time.mp4
