央视频道,#genre#
CCTV1,http://113.24.136.208:8085/rtp/239.1.1.7:8007
CCTV1,http://113.24.136.227:8085/rtp/239.1.1.7:8007
CCTV1,http://113.24.136.82:8085/rtp/239.1.1.7:8007
CCTV4,http://113.24.136.208:8085/rtp/239.1.1.10:8010
CCTV4,http://113.24.136.227:8085/rtp/239.1.1.10:8010
CCTV4,http://113.24.136.82:8085/rtp/239.1.1.10:8010
CCTV13,http://113.24.136.208:8085/rtp/239.1.1.20:8020
CCTV13,http://113.24.136.227:8085/rtp/239.1.1.20:8020
CCTV13,http://113.24.136.82:8085/rtp/239.1.1.20:8020
CCTV14,http://113.24.136.208:8085/rtp/239.1.1.21:8021
CCTV14,http://113.24.136.227:8085/rtp/239.1.1.21:8021
CCTV14,http://113.24.136.82:8085/rtp/239.1.1.21:8021
CCTV高网频道,http://113.24.136.208:8085/rtp/239.1.1.102:8102

卫视频道,#genre#
天津卫视,http://113.24.136.208:8085/rtp/239.1.1.46:8046
天津卫视,http://113.24.136.227:8085/rtp/239.1.1.46:8046
天津卫视,http://113.24.136.82:8085/rtp/239.1.1.46:8046
湖北卫视,http://113.24.136.208:8085/rtp/239.1.1.32:8032
湖北卫视,http://113.24.136.227:8085/rtp/239.1.1.32:8032
湖北卫视,http://113.24.136.82:8085/rtp/239.1.1.32:8032

影视频道,#genre#
山西影视,http://113.24.136.208:8085/rtp/239.1.1.4:8004
山西影视,http://113.24.136.227:8085/rtp/239.1.1.4:8004
山西影视,http://113.24.136.82:8085/rtp/239.1.1.4:8004

其他频道,#genre#
东方财经,http://113.24.136.208:8085/rtp/239.1.1.85:8085
东方财经,http://113.24.136.227:8085/rtp/239.1.1.85:8085
黄河电视台,http://113.24.136.208:8085/rtp/239.1.1.2:8002
黄河电视台,http://113.24.136.227:8085/rtp/239.1.1.2:8002
黄河电视台,http://113.24.136.82:8085/rtp/239.1.1.2:8002

更新时间,#genre#
2024-03-22_19:04:03,https://taoiptv.com/time.mp4
