湖南台,#genre#
湖南爱晚,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXR4X3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPWUxNDJhOGI0ZmM3MzI1YWQ1Yzk1ZjY2OTEwYjVjZDdkJnVpZD0mdXVpZD00MTFjMmEwYWJjMjY4MTMzNTBiY2MzMmNlZjRkNWNlNC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTQwMTIy/HNGGMPP360.m3u8
湖南都市,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz01YjIzMzJmNzYxMTYxNTA4NDI0ZWFlOGE0M2Y1ZWRjZiZ1aWQ9JnV1aWQ9ZjhhMWQ3MDljM2FhNjkzNmIxYmRmM2E2YTNkNGRmMWQtNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTc1NTU0NzMwNA,,/HNDSMPP360.m3u8
湖南娱乐频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPWFhYzRjYmM0YTYwOTdjZmUyMzY0ZTEwZTk4NjIwZmEyJnVpZD0mdXVpZD1iYzdhZGQ4ZjJkMjA4MWRhOTkxYjI4YTQ2OWIzMGI5Mi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTUwODg3/HNYLMPP360.m3u8
湖南经视,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXR4X3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPThjMmY5MmZiZDdmMzk1ZjlkMmExMjUzOTllY2NhMTBhJnVpZD0mdXVpZD1mZDJiNmRlZmE2YTI4Mzc2MGIwMTljNmQyZmQzNzVkNS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTQ5Nzgy/HNJSMPP360.m3u8
金鹰纪实频道,https://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTk3NTg0ZWIzNjhhZGYzMDQ1NDFjOGQ1YjI4OGVhODZlJnVpZD0mdXVpZD02MDRkZWY1MGExYjNiZDlkMTFiYTUyNjE2YmZjZmQ1Ni02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTQwNTAx/JYJSMPP360.m3u8
金鹰卡通,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTgxOGVjMWZmYjU5NDExNWNhOWRmZmFmZjZkNWM0YzkwJnVpZD0mdXVpZD0yOWFkZWRhMTMyZTFiNGUzZGNmZDFkZTJiYmMwN2ZjOC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTU0Nzk0/JYKTMPP360.m3u8
湖南国际频道,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXR4X3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTNiZTE4YWY1Njk3NzNlZjQ5NTI1MjA2Y2Y2MTk4NmI1JnVpZD0mdXVpZD0zZGMwNmIyYWVkMjc0ZWFlODNlNjNjMzkyMDhjNjdiYy02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTQzMDA2/HNGJMPP360.m3u8
湖南电视剧,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPTM1ODU1ZDRlOTUyZWUwZTE3ZTU1ODM5MDY2ZjNmZmQ4JnVpZD0mdXVpZD04M2I3OTc2MGNjODFjNmEzZWVhYzcxYjE4NDI1MmRiMy02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTM5OTA5/HNDSJMPP360.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPXFxX3Bob25lX2xpdmUmY2hzPSZkZWY9MSZzPWYyZTg2NTNmYTA2NmI5NDFiZTIxZjI0MmI5NWU3ZDYwJnVpZD0mdXVpZD0wNGY1YmRhYjRlNDQyNTJhNGY0MWE4YTE3YWFkZGQ5Zi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzU1NTMyODI5/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

港澳台,#genre#
澳门卫视,http://61.244.22.4/ch1/ch1.live/playlist.m3u8
Pet_Club_TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
Bloomberg_TV_Asia,http://210.210.155.37/dr9445/h/h03/index.m3u8
KIX,http://210.210.155.37/dr9445/h/h07/index.m3u8
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
Celestial_Movies,http://210.210.155.37/dr9445/h/h14/index.m3u8
tvN_Movies_Asia,http://210.210.155.37/dr9445/h/h21/index.m3u8
TVB_News,http://r.jdshipin.com/CkuBd
Good,https://live.streamingfast.net/osmflivech1.m3u8
Good_2,https://live.streamingfast.net/osmflivech2.m3u8
Beautiful_Life_TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
Supreme_Master_TV,https://lbs-us1.suprememastertv.com/720p.m3u8
TVBS-Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
Taiwan_Plus_TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
Genius_Go_Go_Go,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
DaAi_1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
DaAi_2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
Dali_TV,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
EBC_YOYO,https://ythls.armelin.one/channel/UCiWRSesvSYmY7YOyz0tv_zQ.m3u8
CTi_News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
FTV_News,https://ythls.armelin.one/channel/UC2VmWn8dAqkzlQqvy02E1PA.m3u8
Global_News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
SET_iNews,https://ythls.armelin.one/channel/UCoNYj9OFHZn3ACmmeRCPwbA.m3u8
TTV_News,https://ythls.armelin.one/channel/UC8ROUUjHzEQm-ndb69CX8Ww.m3u8
mnews,https://ythls.armelin.one/channel/UC4LjkybVKXCDlneVXlKAbmw.m3u8
ET_Mall_60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
寰宇新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
Momo_1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
Momo_2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
DW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
NU,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8
NU2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
华视HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
