湖南台,#genre#
湖南爱晚,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz1kNzc2OGU4NGE0NTk1YzFlOTQ0MjY0ZWFmMWI2ODMzMCZ1aWQ9JnV1aWQ9MWVjYTQwMTY5MmFkNzlkOTU2OWNhNDdhMTQwNjM3NzAtNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczOTgyNTUwMQ,,/HNGGMPP360.m3u8
湖南都市,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPThkMWYyMDU1NzI5MzYwZmNhNWZlNTNiMzhhNjQ3Nzk2JnVpZD0mdXVpZD0xOGY0NmFmYWZmY2MwMWQyMGYxMTZkNzVmZGRiNmNlYS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM5ODM2NTQx/HNDSMPP360.m3u8
湖南娱乐频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPWJmOTg2YmMyMWI4NDIxYmFhNTI4NDVjYmJiNmE5OGFkJnVpZD0mdXVpZD1iNzMyOGJjNDgxMWVlM2VmNzM1ODZlODA1YjY5NGQ2My02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM5ODE0NDQw/HNYLMPP360.m3u8
湖南经视,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz01MDc4YTg3YmRmNmViYjJkNTJhOWE5NjczNTRjMTQ0YiZ1aWQ9JnV1aWQ9NDFmNmExN2E2NWVhYTliNzA5ZjUwNjIxNzkxMGFmZGMtNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczOTgyOTMxNQ,,/HNJSMPP360.m3u8
金鹰纪实频道,https://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTgyZWJiZWY4ZDE3MDcyOWJjOWUwOWFjOTBmNGNlYTdiJnVpZD0mdXVpZD0wYTE2NDk0YzdjOGM4ODMwYzZkNWZhMDUxMDM4NGJiNy02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM5ODI5Mzg5/JYJSMPP360.m3u8
湖南国际频道,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTdlOWY3NTA5OGJmNzg4MDZkMDg3NzM1YzE0MTM1ZDJiJnVpZD0mdXVpZD01YWRkYTNlMTViNjlhMTlhNGYxZThmZTM5NjdmM2U4My02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM5ODE4ODY5/HNGJMPP360.m3u8
湖南电视剧,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTVlZmM4MWYwZjFlYTM0YjMyZTNkMTA0NjE1YTBiYjY4JnVpZD0mdXVpZD04OGQ5NjM0MjJlZWY5YTIzYWQ5NGU4MTc0MmY2MDEzYi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM5ODE5Nzcy/HNDSJMPP360.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTIxZmQzNDg4ZDQ0OTBmN2QxYzk4MTA5NmQyMGJmNGZlJnVpZD0mdXVpZD01OTM1MGZjYzMwMzRkODg1MGM3NDgwNDZmYTlkYjhkNC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM5ODEwNzI2/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

